CampaignId,CampaignName,CampaignStatus,CampaignStartTime,CampaignStopTime,AdsetId,AdsetName,AdId,AdName,AdInsighstDate,DevicePlatform,PublisherPlatform,CTR,Impressions,Reach,Clicks,Link Clicks,Post Engagement,Frequency,PlatformPosition,CampaignObjective
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,desktop,facebook,14.285714,7,5,1,1,1,1.4,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,desktop,instagram,0,2,2,0,0,0,1,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,desktop,instagram,0,1,1,0,0,0,1,instagram_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,audience_network,0,2,1,0,0,0,2,an_classic,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,0,18,17,0,0,0,1.058824,facebook_reels,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,0,4,4,0,0,0,1,facebook_reels_overlay,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,33.333333,3,3,1,1,1,1,facebook_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,11.940299,603,507,72,30,33,1.189349,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,0,2,2,0,0,0,1,instream_video,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,0,2,1,0,0,0,2,marketplace,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,facebook,0,1,1,0,0,0,1,video_feeds,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,6.08365,526,508,32,26,43,1.035433,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,0,4,4,0,0,0,1,instagram_explore,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,0,3,3,0,0,0,1,instagram_explore_grid_home,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,0,1,1,0,0,0,1,instagram_profile_feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,2.898551,69,67,2,2,2,1.029851,instagram_reels,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_app,instagram,4.265403,211,201,9,9,10,1.049751,instagram_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_web,instagram,0,2,2,0,0,0,1,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,mobile_web,instagram,0,1,1,0,0,0,1,instagram_stories,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,desktop,facebook,0,6,6,0,0,0,1,feed,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,facebook,0,9,8,0,0,0,1.125,facebook_reels,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,facebook,5.759162,191,183,11,2,2,1.043716,feed,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,instagram,1.298701,154,153,2,2,2,1.006536,feed,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,instagram,0,2,2,0,0,0,1,instagram_explore,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,instagram,0,23,23,0,0,0,1,instagram_reels,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_app,instagram,1.785714,56,56,1,1,1,1,instagram_stories,OUTCOME_TRAFFIC
120211077736540192,Go Zero with Stadler Rail presented by Stadler,ACTIVE,2024-10-01 15:27:47,2024-10-15 23:59:00,120211077736520192,Utah Fans,120211077736530192,Go Zero,2024-10-01,mobile_web,instagram,0,1,1,0,0,0,1,instagram_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,desktop,facebook,0,3,3,0,0,0,1,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,desktop,facebook,0,1,1,0,0,0,1,instream_video,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,desktop,facebook,0,3,3,0,0,0,1,right_hand_column,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,desktop,instagram,0,2,2,0,0,0,1,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,desktop,instagram,0,2,2,0,0,0,1,instagram_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,audience_network,5.405405,37,14,2,2,2,2.642857,an_classic,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,46,42,0,0,0,1.095238,facebook_reels,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,2,2,0,0,0,1,facebook_reels_overlay,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,7,7,0,0,0,1,facebook_stories,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,5.871091,1567,1284,92,36,39,1.220405,feed,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,5,4,0,0,0,1.25,instream_video,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,1,1,0,0,0,1,marketplace,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,facebook,0,13,9,0,0,0,1.444444,video_feeds,OUTCOME_TRAFFIC
120211077368390192,Lexus Enter to Win,ACTIVE,2024-10-01 15:13:25,2024-10-23 23:59:00,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-02,mobile_app,instagram,4.92126,508,484,25,24,35,1.049587,feed,OUTCOME_TRAFFIC
