CampaignId,CampaignName,CampaignStatus,AdsetId,AdsetName,AdsetGoal,AdId,AdName,AdStatus,AdInsightsDate,Impressions,Reach,CTR,Clicks,UniqueClicks,InlineLinkClicks,UniqueInlineLinkClicks,Spend,PostEngagements,CampaignCreatedTime,CampaignStartTime,CampaignStopTime,CampaignObjective,CampaignLifetimeBudget,_BATCH_ID_,_BATCH_LAST_RUN_,Revenue_28d_click,Revenue_28d_view,Revenue_7d_click,Revenue_7d_view,Revenue_1d_click,Revenue_1d_view,Frequency,instagram_permalink_url
120200199653420705,WG23 | WGYM Fans | Cardinal & White Meet,ACTIVE,120200199653760705,WGYM Fans,LINK_CLICKS,120200199653800705,Cardinal & White Meet,ACTIVE,2024-01-02,0,0,0,0,0,0,0,0,0,2023-12-02 10:15:02,2023-12-02 10:15:02,2023-12-09 10:00:08,OUTCOME_TRAFFIC,,161,2025-02-02 08:33:07,0,0,0,0,0,0,0,https://www.instagram.com/p/C0XEIc0gtEc/
120200517273620705,V23 | Local Volleyball Fans | Regionals,ACTIVE,120200517275110705,Local Volleyball Fans,LINK_CLICKS,120200517275310705,Stanford Regional,ACTIVE,2024-01-01,0,0,0,0,0,0,0,0,0,2023-12-06 14:03:10,2023-12-06 14:03:11,2023-12-09 12:00:54,OUTCOME_TRAFFIC,,161,2025-02-02 08:33:07,0,88,0,0,0,0,0,https://www.instagram.com/p/C0hxppogqv7/
120200517273620705,V23 | Local Volleyball Fans | Regionals,ACTIVE,120200517275110705,Local Volleyball Fans,LINK_CLICKS,120200517275310705,Stanford Regional,ACTIVE,2024-01-02,0,0,0,0,0,0,0,0,0,2023-12-06 14:03:10,2023-12-06 14:03:11,2023-12-09 12:00:54,OUTCOME_TRAFFIC,,161,2025-02-02 08:33:07,0,20,0,0,0,0,0,https://www.instagram.com/p/C0hxppogqv7/
120200517273620705,V23 | Local Volleyball Fans | Regionals,ACTIVE,120200517275110705,Local Volleyball Fans,LINK_CLICKS,120200517275310705,Stanford Regional,ACTIVE,2024-01-04,0,0,0,0,0,0,0,0,0,2023-12-06 14:03:10,2023-12-06 14:03:11,2023-12-09 12:00:54,OUTCOME_TRAFFIC,,161,2025-02-02 08:33:07,0,458,0,0,0,0,0,https://www.instagram.com/p/C0hxppogqv7/
120200517273620705,V23 | Local Volleyball Fans | Regionals,ACTIVE,120200517275110705,Local Volleyball Fans,LINK_CLICKS,120200517275310705,Stanford Regional,ACTIVE,2024-01-05,0,0,0,0,0,0,0,0,0,2023-12-06 14:03:10,2023-12-06 14:03:11,2023-12-09 12:00:54,OUTCOME_TRAFFIC,,161,2025-02-02 08:33:07,0,0,0,0,0,0,0,https://www.instagram.com/p/C0hxppogqv7/
120201494173480705,MBB Pac-12 Play,ACTIVE,120201494173550705,Interest,LINK_CLICKS,120201494174580705,MBB Pac-12 Play,ACTIVE,2024-01-01,2724,2410,0.954479,26,26,19,18,7.28,24,2023-12-15 13:57:52,2023-12-15 13:57:53,2024-01-05 23:59:53,OUTCOME_TRAFFIC,100000,161,2025-02-02 08:33:07,0,0,0,0,0,0,1.13029,https://www.instagram.com/p/C0476UMgrr6/
120201494173480705,MBB Pac-12 Play,ACTIVE,120201494173550705,Interest,LINK_CLICKS,120201494174580705,MBB Pac-12 Play,ACTIVE,2024-01-02,2351,2082,1.403658,33,31,22,22,7.09,23,2023-12-15 13:57:52,2023-12-15 13:57:53,2024-01-05 23:59:53,OUTCOME_TRAFFIC,100000,161,2025-02-02 08:33:07,0,0,0,0,0,0,1.129203,https://www.instagram.com/p/C0476UMgrr6/
120200078799410705,V23 | Local Volleyball Fans | First & Second Rounds,ACTIVE,120200078799400705,Local Volleyball Fans,LINK_CLICKS,120200078799420705,First & Second Rounds,ACTIVE,2023-11-29,10490,8715,1.954242,205,174,155,145,82.38,178,2023-11-29 09:10:35,2023-11-29 09:10:36,2023-12-02 16:00:15,OUTCOME_TRAFFIC,,1,2025-01-22 14:41:52,80,134,80,134,80,134,1.203672,https://www.instagram.com/p/C0POV-Lg4J6/
120200078799410705,V23 | Local Volleyball Fans | First & Second Rounds,ACTIVE,120200078799400705,Local Volleyball Fans,LINK_CLICKS,120200078799420705,First & Second Rounds,ACTIVE,2023-11-30,22458,17552,1.687595,379,299,273,242,174.32,309,2023-11-29 09:10:35,2023-11-29 09:10:36,2023-12-02 16:00:15,OUTCOME_TRAFFIC,,1,2025-01-22 14:41:52,95,959,95,959,95,809,1.279512,https://www.instagram.com/p/C0POV-Lg4J6/
120200078799410705,V23 | Local Volleyball Fans | First & Second Rounds,ACTIVE,120200078799400705,Local Volleyball Fans,LINK_CLICKS,120200078799420705,First & Second Rounds,ACTIVE,2023-12-01,27002,22129,1.433227,387,317,251,228,165.92,284,2023-11-29 09:10:35,2023-11-29 09:10:36,2023-12-02 16:00:15,OUTCOME_TRAFFIC,,1,2025-01-22 14:41:52,60,615,60,615,60,445,1.220209,https://www.instagram.com/p/C0POV-Lg4J6/
